,Brands,Models,Prices,Storage(GB),RAM,RAM Type,Size,Processor,Operating System,Warranty,Ratings
118,Infinix,Infinix INBook X1 Neo Series ,24990.0,256,8,LPDDR4X,14.0,Intel Celeron Quad Core Processor,64 bit Windows 11 ,2.0,4.5
119,Avita,Avita PURA APU ,26490.0,256,8,DDR4,14.0,APU Dual Core A6 Processor,64 bit Windows 10 ,1.0,3.7
120,Infinix,Infinix INBook X1 Neo Series ,24990.0,256,8,LPDDR4X,14.0,Intel Celeron Quad Core Processor,64 bit Windows 11 ,1.0,4.2
121,Avita,Avita PURA APU ,26490.0,256,8,DDR4,14.0,APU Dual Core A6 Processor,64 bit Windows 10 ,1.0,4.2
122,ASUS,ASUS VivoBook 15 ,25990.0,256,4,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1.0,3.7
123,Avita,Avita SATUS ULTIMUS S111 ,21490.0,128,4,DDR4,14.1,Intel Celeron Dual Core Processor,64 bit Windows 11 ,1.0,4.2
124,HP,HP Pavilion ,56990.0,512,8,DDR4,15.6,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1.0,4.5
125,DELL,DELL Vostro ,49190.0,512,8,DDR4,14.0,AMD Ryzen 5 Quad Core Processor,64 bit Windows 10 ,1.0,3.7
126,ASUS,ASUS Vivobook 15 ,54990.0,1000,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
127,acer,acer Aspire Vero(Green PC ) ,58390.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.1
128,ASUS,ASUS VivoBook Flip 14 ,49990.0,512,8,LPDDR4X,14.0,Intel Core i3 Processor (11th Gen),Windows 11 ,2.0,4.7
129,ASUS,ASUS VivoBook Flip 14 ,62990.0,512,8,LPDDR4X,14.0,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.7
130,Lenovo,Lenovo Thinkpad ,56990.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit DOS ,1.0,4.4
131,Lenovo,Lenovo IdeaPad 3 ,33490.0,256,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),Windows 11 ,1.0,4.8
132,HP,HP Pavilion ,60990.0,512,16,DDR4,15.6,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,2.0,4.4
133,ASUS,ASUS VivoBook K15 OLED (2021) ,61990.0,1000,16,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
134,Lenovo,Lenovo IdeaPad Gaming ,53990.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,3.7
135,Lenovo,Lenovo ,34490.0,512,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1.0,4.3
136,acer,acer Extensa ,31990.0,256,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.2
137,MSI,MSI Alpha 15 ,91990.0,1000,16,DDR4,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1.0,4.3
138,ASUS,ASUS TUF Gaming A17 ,71990.0,512,8,DDR4,17.3,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1.0,4.5
139,ASUS,ASUS ,25990.0,1000,4,DDR4,15.6,Intel Pentium Quad Core Processor,64 bit Windows 10 ,1.0,4.4
