,Brands,Models,Prices,ROM,RAM,Size,Processor,Operating System,Warranty,Ratings
19,MSI,MSI ,"₹44,990",512 GB SSD,8 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year On-Site Warranty,4.3
20,HP,HP Notebook PC ,"₹35,990",1 TB HDD,8 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.3
21,ASUS,ASUS VivoBook 15 (2022) ,"₹34,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.5
22,ASUS,ASUS VivoBook 15 (2022) ,"₹48,990",1 TB HDD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
23,ASUS,ASUS ROG Flow Z13 (2022) ,"₹3,21,990",1 TB SSD,16 GB LPDDR5,(13.4 Inch),Intel Core i9 Processor (12th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
24,ASUS,ASUS TUF Gaming F15 ,"₹54,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
25,ASUS,ASUS ,"₹33,990",256 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.5
26,ASUS,ASUS VivoBook K15 OLED ,"₹59,990",512 GB SSD,16 GB DDR4,(15.6 Inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 Year onsite warranty,4.3
27,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.3
28,DELL,DELL Inspiron Athlon ,"₹33,090",256 GB SSD,8 GB DDR4,(15.6 Inch),AMD Athlon Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.1
29,HP,HP ,"₹48,490",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.2
30,Lenovo,Lenovo ,"₹34,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.4
31,Lenovo,Lenovo IdeaPad 3 ,"₹39,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.3
32,ASUS,ASUS TUF Gaming F15 ,"₹56,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite warranty,4.3
33,acer,acer Intel EVO Swift 3 ,"₹60,990",512 GB SSD,8 GB LPDDR4X,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year International Travelers Warranty,4.4
34,ASUS,ASUS TUF Gaming A17 ,"₹72,990",512 GB SSD,16 GB DDR4,(17.3 inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.5
35,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,2 Years Warranty,4.5
36,HP,HP ,"₹41,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
37,HP,HP ,"₹30,990",256 GB SSD,8 GB DDR4,(14 inch),Intel Pentium Quad Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.2
38,Lenovo,Lenovo Ideapad Slim 5i ,"₹64,999",512 GB SSD,16 GB DDR4,(15.6 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,4.2
39,Lenovo,Lenovo IdeaPad ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.4
40,ASUS,ASUS VivoBook 14 (2021) ,"₹25,990",256 GB SSD,4 GB DDR4,(14 inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.2
41,ASUS,ASUS VivoBook K15 OLED (2022) ,"₹57,990",512 GB SSD,16 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.5
42,Lenovo,Lenovo IdeaPad ,"₹29,990",256 GB SSD,4 GB DDR4,(14 Inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.3
43,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,4.2
44,APPLE,APPLE MacBook Air ,"₹1,04,990",256 GB SSD,16 GB DDR4,(13.3 inch),Apple M1 Processor,Mac OS ,1 Year Limited Warranty,4.7
45,DELL,DELL ,"₹70,990",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year Onsite Hardware Service,4.7
46,realme,realme Book (Slim) ,"₹38,999",256 GB SSD,8 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.4
47,Lenovo,Lenovo IdeaPad ,"₹45,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Warranty,4.6
48,HP,HP ,"₹52,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
49,ASUS,ASUS VivoBook 14 (2022) ,"₹47,990",1 TB HDD,8 GB DDR4,(14 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
50,ASUS,ASUS VivoBook 15 (2022) ,"₹31,990",512 GB SSD,4 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
51,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.7
52,HP,HP ,"₹52,490",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year onsite warranty,4.3
53,Lenovo,Lenovo IdeaPad 1 ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),AMD Ryzen 5 Quad Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.1
54,ASUS,ASUS ,"₹31,990",512 GB SSD,4 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.3
55,Lenovo,Lenovo IdeaPad 3 ,"₹39,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.1
56,ASUS,ASUS VivoBook K15 OLED ,"₹59,990",512 GB SSD,16 GB DDR4,(15.6 Inch),AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1 Year onsite warranty,4.2
57,ASUS,ASUS Vivobook S14 OLED (2022) Intel EVO ,"₹70,990",512 GB SSD,16 GB DDR4,(14 Inch),Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
58,HP,HP ,"₹36,490",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Quad Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.3
59,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,2 Years Warranty,4.3
60,HP,HP Pavilion ,"₹52,999",512 GB SSD,8 GB DDR4,(14 Inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.5
61,acer,acer Aspire 3 ,"₹34,390",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year International Travelers Warranty,4.1
62,DELL,DELL Inspiron ,"₹37,490",256 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,4.3
63,Lenovo,Lenovo IdeaPad ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.2
64,HP,HP 15s ,"₹38,999",1 TB HDD,8 GB DDR4,(15.6 inch),AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1 Year Onsite Warranty,4.3
65,MSI,MSI GF63 Thin ,"₹72,990",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (10th Gen),64 bit Windows 10 ,2 Year Warranty,4.3
66,ASUS,ASUS VivoBook K15 OLED (2022) ,"₹62,990",1 TB HDD,16 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.4
67,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Warranty,4.6
68,DELL,DELL Vostro ,"₹37,690",1 TB HDD,4 GB DDR4,(14 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
69,Lenovo,Lenovo ,"₹29,990",1 TB HDD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,2 Years Warranty,4.5
